Carrum,3197,17,22,14,53,6.015911326,0.320754717,0.41509434,0.264150943
Leopold,3224,25,19,9,53,3.323113441,0.471698113,0.358490566,0.169811321
Taradale,3447,21,20,12,53,2.591792657,0.396226415,0.377358491,0.226415094
Mill Park-Blossom Park,3082,20,20,12,52,5.767088276,0.384615385,0.384615385,0.230769231
Altona North-Brooklyn,3025,18,16,17,51,9.772387732,0.352941176,0.31372549,0.333333333
Highett,3190,25,15,11,51,6.89856767,0.490196078,0.294117647,0.215686275
Kilsyth+South,3137,11,22,17,50,5.467318265,0.22,0.44,0.34
Black Rock-Cromer-Beaumaris,3193,20,20,10,50,2.753955148,0.4,0.4,0.2
Diamond Creek,3089,17,22,10,49,4.137691238,0.346938776,0.448979592,0.204081633
Greenvale,3059,13,23,12,48,3.968585513,0.270833333,0.479166667,0.25
Templestowe,3106,17,9,22,48,2.960446494,0.354166667,0.1875,0.458333333
Knoxfield,3180,18,17,13,48,5.574229692,0.375,0.354166667,0.270833333
Burwood East,3151,25,8,13,46,3.194951188,0.543478261,0.173913043,0.282608696
Ocean Grove-Collendina,3226,16,15,15,46,3.480684986,0.347826087,0.326086957,0.326086957
Rockbank,3335,14,16,15,45,17.49006246,0.311111111,0.355555556,0.333333333
Bacchus Marsh-Darley-Balliang,3340,19,17,8,44,5.890525146,0.431818182,0.386363636,0.181818182
Langwarrin,3910,18,15,11,44,4.169201254,0.409090909,0.340909091,0.25
Hampton Park,3976,12,19,11,42,4.434720411,0.285714286,0.452380952,0.261904762
Geelong North-Bell Park,3215,19,13,8,40,6.574167508,0.475,0.325,0.2
Gisborne-Bullengarook,3437,16,15,9,40,3.035180501,0.4,0.375,0.225
Rye-Tootgarook,3941,15,14,11,40,6.757795814,0.375,0.35,0.275
Balwyn North-Greythorn,3104,12,11,16,39,2.515135109,0.307692308,0.282051282,0.41025641
Vermont+South,3133,13,13,11,37,2.472321261,0.351351351,0.351351351,0.297297297
Little River,3211,16,11,9,36,5.5994257,0.444444444,0.305555556,0.25
Lara-Avalon,3212,22,8,6,36,5.195815071,0.611111111,0.222222222,0.166666667
Panton Hill,3759,9,17,10,36,1.554404145,0.25,0.472222222,0.277777778
Cowes,3922,13,13,10,36,7.133401971,0.361111111,0.361111111,0.277777778
Somerville-Pearcedale,3912,7,16,11,34,4.382360997,0.205882353,0.470588235,0.323529412
Kew East,3102,11,10,10,31,3.124480638,0.35483871,0.322580645,0.322580645
Portsea-Blackwarry,3944,14,10,7,31,14.79820628,0.451612903,0.322580645,0.225806452
Donvale,3111,14,10,6,30,1.704256402,0.466666667,0.333333333,0.2
Coolaroo-Meadow Heights,3048,10,10,9,29,7.532998288,0.344827586,0.344827586,0.310344828
Lalor,3075,14,10,5,29,7.104759988,0.482758621,0.344827586,0.172413793
Montmorency,3094,8,8,13,29,3.230962439,0.275862069,0.275862069,0.448275862
Ringwood East-Heathmont,3135,10,8,11,29,3.888859654,0.344827586,0.275862069,0.379310345
Kyneton-Redesdale-Tylden,3444,14,6,8,28,5.215446197,0.5,0.214285714,0.285714286
Lyndhurst,3975,13,9,6,28,4.071661238,0.464285714,0.321428571,0.214285714
Box Hill North-Mont Albert North,3129,8,11,8,27,2.328477151,0.296296296,0.407407407,0.296296296
Corio-Norlane-North Shore,3214,11,7,9,27,13.37030717,0.407407407,0.259259259,0.333333333
Keilor,3036,9,10,7,26,4.432654458,0.346153846,0.384615385,0.269230769
Park Orchards,3114,12,7,7,26,2.205486821,0.461538462,0.269230769,0.269230769
Sandringham,3191,11,10,5,26,8.21785369,0.423076923,0.384615385,0.192307692
Barwon Heads-Breamlea,3227,8,11,7,26,8.541089566,0.307692308,0.423076923,0.269230769
Red Hill,3937,5,14,7,26,2.259590121,0.192307692,0.538461538,0.269230769
Chirnside Park,3116,10,9,6,25,5.17260274,0.4,0.36,0.24
Canterbury,3126,11,7,7,25,3.118238513,0.44,0.28,0.28
Doveton,3177,9,11,5,25,9.127254998,0.36,0.44,0.2
Queenscliff-Pt Lonsdale,3225,12,7,6,25,8.709095594,0.48,0.28,0.24
Eildon,3713,11,8,6,25,11.30346232,0.44,0.32,0.24
Warragul,3820,10,6,9,25,7.140827057,0.4,0.24,0.36
Upwey,3158,7,14,3,24,4.666858128,0.291666667,0.583333333,0.125
Montrose,3765,4,13,7,24,3.505124016,0.166666667,0.541666667,0.291666667
Hastings,3915,10,3,11,24,12.29372023,0.416666667,0.125,0.458333333
Campbellfield,3061,8,7,8,23,22.53521127,0.347826087,0.304347826,0.347826087
Wandin+East+North-Seville,3139,5,12,6,23,2.672572905,0.217391304,0.52173913,0.260869565
Scoresby,3179,11,2,9,22,5.040733198,0.5,0.090909091,0.409090909
Whittlesea-Eden Park-Glenvale,3757,8,3,11,22,4.633107939,0.363636364,0.136363636,0.5
Rosebud West,3940,11,6,5,22,5.001091941,0.5,0.272727273,0.227272727
Emerald-Clematis-Avonsleigh,3782,12,4,4,20,3.204220821,0.6,0.2,0.2
Sorrento,3943,10,7,3,20,10.4281768,0.5,0.35,0.15
Hurstbridge-Arthurs Creek,3099,7,6,5,18,4.30504305,0.388888889,0.333333333,0.277777778
Lang Lang,3984,8,5,5,18,5.08617066,0.444444444,0.277777778,0.277777778
Coldstream-Gruyere-Yering,3770,6,6,5,17,2.477265601,0.352941176,0.352941176,0.294117647
Yarra Glen-Christmas Hills,3775,8,5,4,17,2.722063037,0.470588235,0.294117647,0.235294118
Wallan Wallan,3756,5,5,6,16,5.823878984,0.3125,0.3125,0.375
Yarra Junction-Powelltown,3797,4,7,5,16,4.247345409,0.25,0.4375,0.3125
Bunyip-Tonimbuk,3815,4,4,6,14,3.64010989,0.285714286,0.285714286,0.428571429
