name, yr2011_12, pfi, postcode,population,averageAge,unemploymentRate,averageIncomeWeekly,eduPrimary,eduSecondary,eduTertiery,CrimeTweetCount,PoliceReportLoged,population loged,incomeLoged,tweetCountLoged
Bentleigh-McKinnon-Ormond,1252,205410100,3204,28185,38,4.6,661,29.1,22.9,25.4,248,10.29001885,14.78263995,9.368506462,6.62935662
South Melbourne,1900,205410281,3205,9317,37,5,920,15,10.2,32.8,281,10.8917837,13.18564978,9.845490051,7.076815597
Albert Park,697,205410237,3206,10017,40,3.7,1037,25.4,13.2,23.1,170,9.445014846,13.29016288,10.01820018,6.857980995
Port Melbourne,2451,205409864,3207,14521,38,3.7,1091,18.8,12,24.1,210,11.25915477,13.82585319,10.09143539,7
Little River,78,205407673,3211,1393,40,4.7,600,28.8,29.1,13.1,36,6.285402219,10.44397954,9.22881869,3
Lara-Avalon,735,205408145,3212,14146,36,4.2,580,27.4,23.3,13.6,26,9.52160044,13.78810655,9.17990909,4.087462841
null,0,218966894,3213,null,null,null,null,null,null,null,1,#NUM!,#VALUE!,#VALUE!,0
Corio-Norlane-North Shore,3134,205409505,3214,23440,36,11.8,371,24.9,26.7,11.7,19,11.61378946,14.51668495,8.535275377,3.321928095
Geelong North-Bell Park,1303,205410055,3215,19820,41,6,464,24.5,20.9,19.9,29,10.34762137,14.27466934,8.857980995,3.906890596
Belmont-Freshwater Creek,2441,205408639,3216,52004,39,4.6,554,27,23,26.2,255,11.25325658,15.66633498,9.113742166,5.459431619
Deakin University,0,218953697,3217,1255,26,7,502,18.5,13,47.3,0,#NUM!,10.29347165,8.971543554,#NUM!
Geelong West-Herne Hill-Manifold Heights,674,205410269,3218,12612,36,5.4,592,23.4,18.1,29.2,144,9.396604781,13.62250945,9.209453366,2.807354922
Geelong East-Breakwater-Newcomb,1491,205410135,3219,20053,39,6.2,485,26.3,21.5,19.3,57,10.54206454,14.29153046,8.921840937,3.584962501
Geelong+South-Bareena-Chilwell,2966,205410262,3220,15287,40,4.7,644,24.4,21.5,26.9,115,11.53430288,13.90001769,9.330916878,5.044394119
Drysdale-Clifton Springs,350,205408823,3222,12066,44,4.4,492,28.9,27.1,17.4,74,8.451211112,13.55865987,8.942514505,3.807354922
Portarlington-Indented Head,276,205409243,3223,6497,55,7.6,409,25.4,21.9,15.5,6,8.108524457,12.66555799,8.675957033,2.321928095
Leopold,336,205409292,3224,10111,39,4,546,31.2,24.9,17.6,53,8.392317423,13.30363807,9.092757141,2.584962501
Queenscliff-Pt Lonsdale,338,205408974,3225,3881,54,4.4,565,25.9,23.1,17.2,23,8.400879436,11.92221272,9.142107057,3.169925001
Ocean Grove-Collendina,437,205409677,3226,12555,40,4.4,586,30.9,24.9,18.7,39,8.77148947,13.61597441,9.194756854,2
Barwon Heads-Breamlea,370,205408269,3227,4332,41,3.6,676,29.1,22,16,26,8.531381461,12.08081753,9.400879436,1.584962501
Torquay-Bellbrae-Jan Juc,638,205408756,3228,14648,37,3.8,673,34.4,22.6,17.5,68,9.317412614,13.83841608,9.394462695,4.087462841
Rockbank,308,205408556,3335,1761,39,5.9,451,22,18.7,15.2,45,8.266786541,10.78217919,8.816983623,5.426264755
